route,route_id,origin_destination
127K,1,KOTI TO KONDAPUR
127K,2,127K KONDAPUR TO KOTI
127VB,11,KOTI TO VBIT
127VB,12,VBIT TO KOTI
222A,15,KOTI TO PATANCHERU
222A,16,PATANCHERU TO KOTI
127KV,23,KONDAPUR NGOS
127KV,24,NGOS KONDAPUR
49M,66,SECUNDERABAD TO TOLICHOWKI
49M,67,TOLICHOKI TO SECUNDERABAD
219,75,SECUNDERABAD TO PATANCHERU
219,76,PATANCHERU TO SECUNDERABAD
47,77,SECUNDERABAD TO FILMNAGAR
47,78,FILM NAGAR TO SECUNDERABAD
217D/A,79,PATANCHERU TO DILSUKNAGAR
218D,85,DILSUKHNAGAR TO PATANCHERU
218L,88,LINGAMPALLY TO DILSUKHNAGAR
218L,89,DILSUKHNAGAR TO LINGAMPALLY
300,90,MEHDIPATNAM TO UPPAL
12,91,KONDAPUR TO RAMNAGAR GUNDU
12,92,RAMNAGAR TO KONDAPUR
113/216,96,UPPAL TO LINGAMPALLY
218D,98,PATANCHERU TO DILSUKHNAGAR
217D/A,99,DILSUKHNAGAR TO PATANCHERU
113/216,100,LINGAMPALLY TO UPPAL
300,101,UPPAL X ROADS TO MEHDIPATNAM
277,103,IBRAHIMPATNAM TO MGBS
277,104,MGBS TO IBRAHIMPATNAM
45F,105,MGBS TO BORABANDA
45HA,107,KOTI TERMINAL ALWYN X ROADS
45HA,108,ALLWYN X ROAD TO KOTI
45K,109,KOTI TERMINAL TO SANATH NAGAR
9X,110,JEEDIMETLA DEPOT TO CBS
29R/272,111,GANDIMISAMMA TO SECUNDERABAD
29R/272,112,SECUNDERABAD TO GANDIMAISAMMA
9X,113,CBS TO JEEDIMETLA DEPOT
45K,116,SANATNAGAR TO KOTI
45KM,117,KOTI TERMINAL TO KUKATPALLY
45MF,119,RAMNAGAR TO BORABANDA
118W,123,KOTI TO WAVEROCK
118W,125,WAVE ROCK TO MGBS
9X/230,128,DUNDIGAL VILLAGE TO CBS
10KJ,129,JAGADGIRI GUTTA TO SECUNDERABA
10KJ,130,SECUNDERABAD TO JAGADGIRIGUTTA
10H/17H,131,KONDAPUR TO ECIL X ROAD
9X/230,134,CBS TO DUNDIGAL
40,148,SECUNDERABAD TO KOTI
136H,149,NAMPALLY STATION T ECIL X ROAD
136H,150,ECIL BUSSTATION TO NAMPALLY
10H,151,SECUNDERABAD TO KONDAPUR
10H,152,KONDAPUR TO SECUNDERABAD
83J,156,KACHIGUDA TO APURUPA COLONY
9K,157,JEEDIMETLA AFZALGUNJ
